id,pH,EC,OC,N,P,K,S,Ca,Mg,Zn,Cu,Fe,Mn,B,Mo,Tex,District,label
0,7.05,0.16,5.56,175.62,38.26,324.8,5.21,1884,288,1.82,0.2,2.83,2.8,0.23,0.13,2,0,6
1,6.88,0.089,4.24,125.44,26.3,103,10.42,1484,336,1.62,0.45,6.27,5.6,0.23,0.04,2,0,7
2,5.6,0.081,2.78,150.53,25.7,53.8,7.81,1644,504,2.84,0.44,21.08,24.11,0.23,0.09,5,0,7
3,7.3,0.164,10.54,188.16,24.7,190.4,10.42,1364,840,7.74,0.63,16.42,11.4,0.23,0.21,2,0,6
4,7.22,0.167,11.41,163.07,40,210.6,10.42,2004,168,11.89,0.61,7.38,2.91,0.12,0.26,2,0,6
5,6.03,0.185,20.93,188.16,13.91,432.3,5.21,1644,168,4.11,0.58,19.65,11.06,0.35,0.06,2,0,6
6,5.99,0.125,16.98,238.34,29.5,122.1,10.42,2124,864,12.03,0.3,15.96,7.91,0.23,0.13,2,0,6
7,6.64,0.233,15.07,125.44,33.04,329.3,5.21,2684,1056,1.53,0.54,13.18,8.51,0.59,0.06,2,0,6
8,6.65,0.053,9.37,150.53,38.26,293.4,10.42,1644,624,0.39,0.32,9.01,12.42,0.23,0.22,5,0,6
9,6.15,0.046,19.61,301.06,46.3,324.8,10.42,1324,1392,20.7,0.12,4.2,4.8,0.12,0.07,3,0,5
10,6.42,0.213,26.05,137.98,24.8,137.8,5.21,1884,840,2.37,1.71,27.25,6.21,0.35,0.15,6,0,6
11,6.62,0.023,7.32,125.44,29.57,135.5,10.42,1524,696,1.81,0.18,4.09,7.64,0.12,0.04,6,0,6
12,6.11,0.068,8.34,163.07,38.26,119.8,7.81,1604,264,0.8,0.22,6.22,12.65,0.23,0.06,6,0,6
13,6.27,0.046,5.27,188.16,24.8,257.6,10.42,1164,1968,1.8,0.11,5.79,19.49,0.35,0.3,5,0,6
14,6.29,0.065,3.22,213.25,13.91,123.2,10.42,964,120,0.54,0.12,4.68,10.81,0.7,0.26,6,0,6
